GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
retail,com.retial.app.application.controller,BillController,12,0,0,0,2,0,2,0,2,0
retail,com.retial.app.domain.entity,User,189,25,38,0,4,4,30,4,11,4
retail,com.retial.app.domain.entity,User.UserBuilder,10,35,0,0,0,1,1,6,1,6
retail,com.retial.app.domain.entity,Item.ItemBuilder,10,35,0,0,0,1,1,6,1,6
retail,com.retial.app.domain.entity,Item,168,25,28,0,4,4,25,4,11,4
retail,com.retial.app.domain.entity,Bill,115,36,22,2,4,7,20,6,9,5
retail,com.retial.app.domain.entity,Bill.BillBuilder,6,21,0,0,0,1,1,4,1,4
retail,com.retial.app,RetailApplication,8,0,0,0,3,0,2,0,2,0
retail,com.retial.app.domain.enums,UserType,0,21,0,0,0,2,0,1,0,1
retail,com.retial.app.domain.service,BillService,0,66,1,7,0,15,1,7,0,3
,,,,,,,17,35,,,38,33
,,,,,,,,,,,,71
,,,,,,,,,,,,
,,,coverage ,67%,,,,,,,0.464788732,
