GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
RetailStore,com.mowagdy.retailstore.core.factory,CustomerBillCalculator,0,60,2,4,0,15,2,3,0,2
RetailStore,com.mowagdy.retailstore.core.factory,EmployeeBillCalculator,0,40,0,4,0,10,0,4,0,2
RetailStore,com.mowagdy.retailstore.core.factory,AffiliateBillCalculator,0,40,1,3,0,10,1,3,0,2
RetailStore,com.mowagdy.retailstore.core.factory,BillCalculatorFactory,2,36,1,3,1,8,1,4,0,2
RetailStore,com.mowagdy.retailstore.infrastructure.service,BillService,0,29,0,0,0,6,0,3,0,3
RetailStore,com.mowagdy.retailstore.infrastructure.service,UserService,9,6,0,0,1,3,1,1,1,1
RetailStore,com.mowagdy.retailstore.core.exception,ResourceNotFoundException,3,9,0,0,2,4,1,2,1,2
RetailStore,com.mowagdy.retailstore.core.exception,FieldRequiredException,8,28,0,0,2,7,1,3,1,3
RetailStore,com.mowagdy.retailstore.core.model,Bill,8,53,0,0,4,20,2,12,2,12
RetailStore,com.mowagdy.retailstore.core.model,UserType,0,27,0,0,0,5,0,1,0,1
RetailStore,com.mowagdy.retailstore.core.model,BillItem,23,40,0,0,11,16,6,8,6,8
RetailStore,com.mowagdy.retailstore.core.model,ItemType,0,27,0,0,0,5,0,1,0,1
RetailStore,com.mowagdy.retailstore.core.model,User,11,39,0,0,5,17,3,9,3,9
RetailStore,com.mowagdy.retailstore.core.usecase,BillFetchingUseCase,0,33,0,0,0,8,0,3,0,3
RetailStore,com.mowagdy.retailstore.core.usecase,UserCreationUseCase,0,54,0,0,0,10,0,3,0,3
RetailStore,com.mowagdy.retailstore.core.usecase,BillCreationUseCase,0,242,0,10,0,43,0,12,0,7
RetailStore,com.mowagdy.retailstore.core.usecase,BaseUseCase,0,8,0,0,0,3,0,2,0,2
RetailStore,com.mowagdy.retailstore.core.validator,FieldRequiredValidator,0,105,1,21,0,18,1,12,0,2
RetailStore,com.mowagdy.retailstore,RetailStoreApplication,5,3,0,0,2,1,1,1,1,1
RetailStore,com.mowagdy.retailstore.infrastructure.controller,UserController,5,3,0,0,1,1,1,1,1,1
RetailStore,com.mowagdy.retailstore.infrastructure.controller,BillController,14,3,0,0,2,1,2,1,2,1
RetailStore,com.mowagdy.retailstore.core.dto,BillFetchingResponseUser,22,44,0,0,9,17,3,8,3,8
RetailStore,com.mowagdy.retailstore.core.dto,UserCreationResponse,3,23,0,0,2,10,1,5,1,5
RetailStore,com.mowagdy.retailstore.core.dto,BillCreationRequestItem,0,74,0,0,0,24,0,10,0,10
RetailStore,com.mowagdy.retailstore.core.dto,UserCreationRequest,18,37,0,0,4,14,2,6,2,6
RetailStore,com.mowagdy.retailstore.core.dto,BillCreationResponse,3,43,0,0,2,18,1,9,1,9
RetailStore,com.mowagdy.retailstore.core.dto,BillFetchingResponse,28,108,0,2,10,29,3,13,3,12
RetailStore,com.mowagdy.retailstore.core.dto,BillFetchingResponseItem,0,82,0,0,0,31,0,13,0,13
RetailStore,com.mowagdy.retailstore.core.dto,BillCreationRequest,8,36,0,0,4,10,2,4,2,4
RetailStore,com.mowagdy.retailstore.core.dto,RequestWithLongId,7,17,0,0,2,7,1,3,1,3
,,,,,,,64,371,,,31,138
,,,,,,,,,,,,
,,,,,,,,85%,,,82%,
